위도,경도,설치형태,근처 가로등수,근처 CCTV개수,근처 킥라니주차장개수,300m내_사고다발지역_개수,가장가까운_사고다발지역_거리(m),주변 학교 수,가장 가까운 학교와의 거리,광원 등급,위험도(100점)
36.80385952,127.152799,LED,92,10,0,1,244.2348095114552,3,162.13932589460876,5,47.62
36.78467385,127.1464116,CDM,82,6,2,0,1399.4189339634515,2,230.8310113941764,4,47.62
36.80127513,127.1080087,LED,229,3,11,3,230.72235729873069,1,254.99598930364803,5,47.62
36.839364,127.1345132,LED,148,6,2,0,388.7552922219776,4,95.04362880093068,5,47.62
36.83501572,127.1167049,나트륨,128,1,5,1,60.70638034544908,0,913.1078962883684,2,47.62
36.83313349,127.1155866,나트륨,102,0,0,1,171.35605272689745,0,817.2187749139832,2,47.62
36.79794852,127.1594345,LED,76,3,6,0,581.6697373696254,0,509.4269880186203,5,47.62
36.7871599,127.1597486,CDM,99,4,3,0,472.3226210381,1,183.78648631412204,4,47.62
36.83766085,127.1607725,LED,37,0,0,0,1367.738124118959,0,649.3446938798786,5,47.62
36.8054665,127.1450923,나트륨,116,7,2,1,196.02273980240847,1,99.0194970160642,2,47.63
36.82744309,127.1032451,LED,43,2,0,0,899.2980330744145,0,325.6664626471242,5,47.63
36.82968292,127.1101336,나트륨,74,0,0,0,766.7825560492645,0,747.326002414225,2,47.63
36.79737474,127.09858,메탈,93,7,0,1,204.4966240780541,2,153.97100109140527,5,47.63
36.79016948,127.123614,나트륨,119,7,2,0,445.35005620244624,2,56.64616881678554,2,47.63
36.78705482,127.1571797,CDM,111,4,5,0,699.50706907306,1,162.6366580799731,4,47.63
36.8358749,127.1417612,LED,81,11,3,0,328.31956826875603,3,208.1562766395415,5,47.63
36.80552876,127.1456725,나트륨,123,6,2,1,234.4306076643924,1,121.21867792191412,2,47.63
36.82915901,127.144927,LED,83,4,3,2,248.9976427145367,0,702.9865928814065,5,47.63
36.82474583,127.1184827,CDM,97,6,1,0,374.70435779893546,2,129.88249572699746,4,47.63
36.83615715,127.1548194,LED,43,2,0,0,814.9250133549638,0,355.52566673309127,5,47.63
36.78918243,127.1195343,CDM,95,2,5,0,653.7465037894264,0,330.73340642342004,4,47.63
